task_id,logged_date,target_completion_date,department,defect_type,mast_number,severity,priority,section_id,station_code,location,latitude,longitude,estimated_duration_hours,deferred_count,status,corridor_id,source_type,source
TDMS_TASK_000033,2024-04-14,2024-04-26,TRACTION,Insulator Damage,RB-OHE-000033,HIGH,P2_URGENT,SEC_042,ALU,Ariyalur - Sillakkudi Block,11.130741,79.057705,2.2,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000034,2024-11-12,2024-11-13,TRACTION,Substation Feed Issue,RB-OHE-000034,CRITICAL,P1_EMERGENCY,SEC_052,TP,Tiruchchirapalli Fort - Tiruchchirappalli Palakarai Block,10.814133,78.692357,3.3,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000035,2024-10-26,2024-10-31,TRACTION,Catenary Wear,RB-OHE-000035,CRITICAL,P1_EMERGENCY,SEC_011,TBM,Tambaram - Perungalattur Block,12.90772,80.097803,3.7,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000036,2024-05-31,2024-06-09,TRACTION,Neutral Section Fault,RB-OHE-000036,HIGH,P2_URGENT,SEC_042,ALU,Ariyalur - Sillakkudi Block,11.137821,79.061966,3.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000037,2024-03-11,2024-03-15,TRACTION,Neutral Section Fault,RB-OHE-000037,CRITICAL,P1_EMERGENCY,SEC_016,CTM,Kattangulathur - Singaperumal Koil Block,12.782391,80.012908,2.8,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000038,2024-12-20,2025-01-05,TRACTION,Catenary Wear,RB-OHE-000038,HIGH,P2_URGENT,SEC_055,PUG,Punggudi - Kolatur Block,10.7356,78.600981,3.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000039,2024-07-28,2024-08-01,TRACTION,Catenary Wear,RB-OHE-000039,CRITICAL,P1_EMERGENCY,SEC_053,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.800644,78.689462,4.0,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000040,2024-05-01,2024-05-03,TRACTION,Catenary Wear,RB-OHE-000040,CRITICAL,P1_EMERGENCY,SEC_032,KDMD,Kandambakkam - Tiruvennainallur Road Block,11.855606,79.423711,4.1,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000041,2024-02-25,2024-03-01,TRACTION,Insulator Damage,RB-OHE-000041,CRITICAL,P1_EMERGENCY,SEC_048,LLI,Lalgudi - Valadi Block,10.873205,78.771018,1.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000042,2024-05-04,2024-05-06,TRACTION,Neutral Section Fault,RB-OHE-000042,CRITICAL,P1_EMERGENCY,SEC_009,CMP,Chromepet - Tambaram Sanatorium Block,12.950935,80.140306,2.9,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000043,2024-08-26,2024-09-11,TRACTION,Insulator Damage,RB-OHE-000043,HIGH,P2_URGENT,SEC_053,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.803478,78.691314,2.1,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000044,2024-07-04,2024-07-10,TRACTION,Substation Feed Issue,RB-OHE-000044,CRITICAL,P1_EMERGENCY,SEC_024,KSGL,Karasangal - Olakur Block,12.327806,79.743588,3.1,3,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000045,2024-01-25,2024-01-26,TRACTION,Substation Feed Issue,RB-OHE-000045,CRITICAL,P1_EMERGENCY,SEC_063,KON,Kudalnagar - Madurai Junction Block,9.93829,78.106733,3.5,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000046,2024-10-12,2024-11-06,TRACTION,Insulator Damage,RB-OHE-000046,MEDIUM,P3_NORMAL,SEC_001,MS,Chennai Egmore - Mambalam Block,13.05924,80.24564,2.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000047,2024-04-27,2024-04-30,TRACTION,Substation Feed Issue,RB-OHE-000047,CRITICAL,P1_EMERGENCY,SEC_006,MN,Meenambakkam - Tirusulam Block,12.984219,80.174041,3.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000048,2024-03-11,2024-03-14,TRACTION,Catenary Wear,RB-OHE-000048,CRITICAL,P1_EMERGENCY,SEC_010,TBMS,Tambaram Sanatorium - Tambaram Block,12.931464,80.124413,3.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000049,2024-09-13,2024-09-26,TRACTION,Neutral Section Fault,RB-OHE-000049,HIGH,P2_URGENT,SEC_020,KGZ,Karunguzhi - Madurantakam Block,12.512676,79.898606,2.9,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000050,2024-09-28,2024-10-02,TRACTION,Substation Feed Issue,RB-OHE-000050,CRITICAL,P1_EMERGENCY,SEC_062,VDM,Vadamadurai - Kudalnagar Block,10.193126,78.10388,3.7,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000051,2024-10-27,2024-10-30,TRACTION,Catenary Wear,RB-OHE-000051,CRITICAL,P1_EMERGENCY,SEC_035,VRI,Vriddhachalam Junction - Talanallur Block,11.492888,79.286523,4.2,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000052,2024-01-01,2024-01-26,TRACTION,Catenary Wear,RB-OHE-000052,MEDIUM,P3_NORMAL,SEC_054,TPJ,Tiruchchirappalli Junction - Punggudi Block,10.75906,78.635511,4.0,4,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000053,2024-05-21,2024-05-28,TRACTION,Catenary Wear,RB-OHE-000053,HIGH,P2_URGENT,SEC_044,KLGM,Kallagam - Kallakkudi Palanganatham Block,10.973037,78.955879,3.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000054,2024-04-06,2024-04-10,TRACTION,Substation Feed Issue,RB-OHE-000054,CRITICAL,P1_EMERGENCY,SEC_017,SKL,Singaperumal Koil - Chengalpattu Junction Block,12.706599,79.984404,3.6,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000055,2024-07-31,2024-08-01,TRACTION,Neutral Section Fault,RB-OHE-000055,CRITICAL,P1_EMERGENCY,SEC_063,KON,Kudalnagar - Madurai Junction Block,9.924595,78.109281,3.1,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000056,2024-12-22,2025-01-04,TRACTION,Catenary Wear,RB-OHE-000056,MEDIUM,P3_NORMAL,SEC_045,KKPM,Kallakkudi Palanganatham - Pullampadi Block,10.957634,78.938941,3.6,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000057,2024-02-13,2024-02-14,TRACTION,Substation Feed Issue,RB-OHE-000057,CRITICAL,P1_EMERGENCY,SEC_065,TDN,Tiruparankundram - Aruppukkottai Block,9.747475,78.079161,3.6,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000058,2024-08-28,2024-09-12,TRACTION,Substation Feed Issue,RB-OHE-000058,HIGH,P2_URGENT,SEC_023,TZD,Tozhuppedu - Karasangal Block,12.358402,79.774191,3.5,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000059,2024-06-11,2024-06-16,TRACTION,Substation Feed Issue,RB-OHE-000059,CRITICAL,P1_EMERGENCY,SEC_033,TVNL,Tiruvennainallur Road - Pavunur Block,11.644385,79.333324,3.4,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000060,2024-06-18,2024-06-23,TRACTION,Catenary Wear,RB-OHE-000060,CRITICAL,P1_EMERGENCY,SEC_056,KLS,Kolatur - Manapparai Block,10.663473,78.495933,4.0,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000061,2024-12-10,2024-12-27,TRACTION,Insulator Damage,RB-OHE-000061,MEDIUM,P3_NORMAL,SEC_064,MDU,Madurai Junction - Tiruparankundram Block,9.917219,78.107624,1.8,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000062,2024-09-24,2024-10-15,TRACTION,Catenary Wear,RB-OHE-000062,MEDIUM,P3_NORMAL,SEC_013,VDR,Vandalur - Urappakkam Block,12.888384,80.083252,4.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000063,2024-02-04,2024-02-05,TRACTION,Substation Feed Issue,RB-OHE-000063,CRITICAL,P1_EMERGENCY,SEC_028,PEI,Perani - Vikravandi Block,12.093483,79.550681,3.4,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000064,2024-06-08,2024-06-13,TRACTION,Substation Feed Issue,RB-OHE-000064,CRITICAL,P1_EMERGENCY,SEC_057,MPA,Manapparai - Chettiyapatti Block,10.603772,78.412428,4.1,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000065,2024-09-28,2024-10-11,TRACTION,Catenary Wear,RB-OHE-000065,HIGH,P2_URGENT,SEC_065,TDN,Tiruparankundram - Aruppukkottai Block,9.674123,78.086969,4.3,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000066,2024-02-09,2024-02-13,TRACTION,Neutral Section Fault,RB-OHE-000066,CRITICAL,P1_EMERGENCY,SEC_053,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.806177,78.693079,2.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000067,2024-07-04,2024-07-18,TRACTION,Catenary Wear,RB-OHE-000067,HIGH,P2_URGENT,SEC_039,MTUR,Mathur - Sendurai Block,11.278217,79.181554,4.3,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000068,2024-07-01,2024-07-02,TRACTION,Neutral Section Fault,RB-OHE-000068,CRITICAL,P1_EMERGENCY,SEC_033,TVNL,Tiruvennainallur Road - Pavunur Block,11.775202,79.386299,2.9,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000069,2024-01-27,2024-02-03,TRACTION,Substation Feed Issue,RB-OHE-000069,HIGH,P2_URGENT,SEC_011,TBM,Tambaram - Perungalattur Block,12.910402,80.100788,3.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000070,2024-12-15,2024-12-21,TRACTION,Neutral Section Fault,RB-OHE-000070,CRITICAL,P1_EMERGENCY,SEC_001,MS,Chennai Egmore - Mambalam Block,13.053731,80.240992,2.7,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000071,2024-05-15,2024-05-21,TRACTION,Substation Feed Issue,RB-OHE-000071,CRITICAL,P1_EMERGENCY,SEC_015,GI,Guduvancheri - Kattangulathur Block,12.811117,80.03098,3.7,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000072,2024-04-09,2024-04-20,TRACTION,Insulator Damage,RB-OHE-000072,HIGH,P2_URGENT,SEC_027,MTL,Mailam - Perani Block,12.133421,79.578804,1.7,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000073,2024-02-02,2024-02-08,TRACTION,Catenary Wear,RB-OHE-000073,CRITICAL,P1_EMERGENCY,SEC_065,TDN,Tiruparankundram - Aruppukkottai Block,9.736481,78.080331,4.1,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000074,2024-01-20,2024-01-22,TRACTION,Neutral Section Fault,RB-OHE-000074,CRITICAL,P1_EMERGENCY,SEC_031,VM,Viluppuram Junction - Kandambakkam Block,11.926717,79.484062,2.8,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000075,2024-03-12,2024-03-18,TRACTION,Catenary Wear,RB-OHE-000075,CRITICAL,P1_EMERGENCY,SEC_039,MTUR,Mathur - Sendurai Block,11.305013,79.197915,4.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000076,2024-09-28,2024-09-30,TRACTION,Substation Feed Issue,RB-OHE-000076,CRITICAL,P1_EMERGENCY,SEC_031,VM,Viluppuram Junction - Kandambakkam Block,11.926513,79.483857,3.3,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000077,2024-04-08,2024-04-11,TRACTION,Catenary Wear,RB-OHE-000077,CRITICAL,P1_EMERGENCY,SEC_051,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.829097,78.702235,4.2,1,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000078,2024-06-15,2024-06-17,TRACTION,Insulator Damage,RB-OHE-000078,CRITICAL,P1_EMERGENCY,SEC_042,ALU,Ariyalur - Sillakkudi Block,11.103471,79.041291,2.0,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000079,2024-08-30,2024-09-09,TRACTION,Neutral Section Fault,RB-OHE-000079,HIGH,P2_URGENT,SEC_033,TVNL,Tiruvennainallur Road - Pavunur Block,11.618631,79.322895,3.0,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
TDMS_TASK_000080,2024-05-02,2024-05-06,TRACTION,Substation Feed Issue,RB-OHE-000080,CRITICAL,P1_EMERGENCY,SEC_002,MBM,Mambalam - Guindy Block,13.012729,80.214701,3.5,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated TRD Maintenance Model
