task_id,logged_date,target_completion_date,department,defect_type,severity,priority,section_id,start_km,end_km,station_code,location,latitude,longitude,estimated_duration_hours,deferred_count,status,corridor_id,source_type,source
TMS_TASK_000024,2024-01-08,2024-01-26,ENGINEERING,Weld Failure,MEDIUM,P3_NORMAL,SEC_062,188.238,188.48,VDM,Vadamadurai - Kudalnagar Block,10.229462,78.103691,2.5,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000025,2024-06-09,2024-06-12,ENGINEERING,Track Parameter Deviation,CRITICAL,P1_EMERGENCY,SEC_062,162.476,163.734,VDM,Vadamadurai - Kudalnagar Block,10.13993,78.104157,2.1,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000026,2024-03-18,2024-04-19,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_047,146.696,147.103,KTTR,Kattur - Lalgudi Block,10.883097,78.830251,3.6,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000027,2024-01-15,2024-01-24,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_062,88.313,88.762,VDM,Vadamadurai - Kudalnagar Block,10.294298,78.103353,2.4,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000028,2024-11-06,2024-11-18,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_051,164.912,165.37,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.826331,78.691515,4.6,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000029,2024-10-14,2024-10-31,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_055,126.1,127.307,PUG,Punggudi - Kolatur Block,10.731063,78.594039,3.5,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000030,2024-03-26,2024-05-07,ENGINEERING,Track Parameter Deviation,MEDIUM,P3_NORMAL,SEC_064,91.222,91.77,MDU,Madurai Junction - Tiruparankundram Block,9.884058,78.070686,2.1,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000031,2024-12-02,2025-01-12,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_003,93.477,93.757,GDY,Guindy - St. Thomas Mount Block,13.002072,80.206327,3.8,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000032,2024-01-22,2024-02-10,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_051,61.881,62.111,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.829091,78.70221,3.4,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000033,2024-01-28,2024-03-12,ENGINEERING,Deep Screening Overdue,MEDIUM,P3_NORMAL,SEC_007,26.451,26.63,TLM,Tirusulam - Pallavaram Block,12.977937,80.163102,4.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000034,2024-09-20,2024-09-26,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_021,132.113,133.287,MMK,Madurantakam - Melmaruvattur Block,12.493935,79.884742,2.5,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000035,2024-03-25,2024-03-28,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_039,173.088,173.463,MTUR,Mathur - Sendurai Block,11.312853,79.202702,2.3,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000036,2024-10-10,2024-10-24,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_018,22.538,23.943,CGL,Chengalpattu Junction - Ottivakkam Block,12.644469,79.976877,3.6,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000037,2024-08-11,2024-08-14,ENGINEERING,Track Parameter Deviation,CRITICAL,P1_EMERGENCY,SEC_004,166.61,167.067,STM,St. Thomas Mount - Palavanthangal Block,12.993844,80.196821,1.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000038,2024-05-26,2024-06-02,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_060,165.116,165.574,KFC,Kalpattichatram - Ayyalur Block,10.492894,78.174741,4.0,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000039,2024-06-17,2024-07-01,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_014,68.3,69.601,UPM,Urappakkam - Guduvancheri Block,12.86099,80.067883,4.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000040,2024-09-21,2024-10-09,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_009,139.325,139.611,CMP,Chromepet - Tambaram Sanatorium Block,12.950985,80.14034,2.9,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000041,2024-12-12,2025-01-04,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_053,44.013,44.58,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.797135,78.687168,3.6,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000042,2024-07-28,2024-08-22,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_002,159.328,160.036,MBM,Mambalam - Guindy Block,13.024263,80.220653,3.3,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000043,2024-09-06,2024-09-10,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_060,152.279,153.058,KFC,Kalpattichatram - Ayyalur Block,10.500065,78.191732,4.2,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000044,2024-03-31,2024-04-09,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_044,85.232,86.335,KLGM,Kallagam - Kallakkudi Palanganatham Block,11.004484,78.985523,3.4,3,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000045,2024-03-27,2024-04-12,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_008,22.247,23.531,PV,Pallavaram - Chromepet Block,12.966167,80.151055,3.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000046,2024-06-01,2024-07-16,ENGINEERING,Deep Screening Overdue,MEDIUM,P3_NORMAL,SEC_047,193.271,193.758,KTTR,Kattur - Lalgudi Block,10.888177,78.840128,4.9,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000047,2024-05-25,2024-05-26,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_035,93.09,93.197,VRI,Vriddhachalam Junction - Talanallur Block,11.500479,79.292153,2.5,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000048,2024-08-11,2024-08-31,ENGINEERING,Deep Screening Overdue,MEDIUM,P3_NORMAL,SEC_036,174.31,175.411,TLNR,Talanallur - Pennadam Block,11.465402,79.266409,4.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000049,2024-12-04,2024-12-14,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_050,151.108,151.411,SRGM,Srirangam - Tiruchchirappalli Town Block,10.841605,78.699974,3.4,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000050,2024-11-06,2024-11-29,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_004,162.974,163.682,STM,St. Thomas Mount - Palavanthangal Block,12.991242,80.189612,3.6,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000051,2024-11-16,2024-12-04,ENGINEERING,Track Parameter Deviation,HIGH,P2_URGENT,SEC_002,158.373,159.093,MBM,Mambalam - Guindy Block,13.030833,80.224043,1.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000052,2024-03-28,2024-04-29,ENGINEERING,Deep Screening Overdue,MEDIUM,P3_NORMAL,SEC_006,45.931,45.964,MN,Meenambakkam - Tirusulam Block,12.980952,80.166871,4.5,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000053,2024-04-06,2024-04-22,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_054,78.514,79.033,TPJ,Tiruchchirappalli Junction - Punggudi Block,10.787791,78.676136,2.7,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000054,2024-02-17,2024-02-27,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_004,93.686,93.967,STM,St. Thomas Mount - Palavanthangal Block,12.991493,80.190307,2.5,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000055,2024-10-12,2024-11-09,ENGINEERING,Deep Screening Overdue,MEDIUM,P3_NORMAL,SEC_054,108.103,108.679,TPJ,Tiruchchirappalli Junction - Punggudi Block,10.756383,78.631726,4.3,2,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000056,2024-11-13,2024-11-23,ENGINEERING,Track Parameter Deviation,HIGH,P2_URGENT,SEC_063,16.615,16.727,KON,Kudalnagar - Madurai Junction Block,9.93906,78.10659,2.2,4,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000057,2024-05-05,2024-06-04,ENGINEERING,Weld Failure,MEDIUM,P3_NORMAL,SEC_018,126.522,127.521,CGL,Chengalpattu Junction - Ottivakkam Block,12.628946,79.975724,2.4,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000058,2024-12-14,2024-12-21,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_044,38.696,38.889,KLGM,Kallagam - Kallakkudi Palanganatham Block,11.000238,78.981521,4.4,4,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000059,2024-11-19,2024-11-24,ENGINEERING,Weld Failure,CRITICAL,P1_EMERGENCY,SEC_034,156.336,156.488,PVN,Pavunur - Vriddhachalam Junction Block,11.588934,79.315859,2.3,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000060,2024-01-20,2024-01-27,ENGINEERING,Track Parameter Deviation,HIGH,P2_URGENT,SEC_062,151.139,151.196,VDM,Vadamadurai - Kudalnagar Block,10.151305,78.104098,2.3,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000061,2024-08-15,2024-09-03,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_014,186.556,187.76,UPM,Urappakkam - Guduvancheri Block,12.846404,80.058412,2.7,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000062,2024-12-18,2025-01-13,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_048,155.409,155.988,LLI,Lalgudi - Valadi Block,10.872958,78.766071,3.4,3,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000063,2024-01-04,2024-02-16,ENGINEERING,Ballast Issue,MEDIUM,P3_NORMAL,SEC_015,85.609,86.951,GI,Guduvancheri - Kattangulathur Block,12.833299,80.048322,3.3,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000064,2024-09-28,2024-10-15,ENGINEERING,Track Parameter Deviation,HIGH,P2_URGENT,SEC_062,193.348,193.835,VDM,Vadamadurai - Kudalnagar Block,10.157801,78.104064,2.1,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000065,2024-03-08,2024-03-23,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_040,89.657,89.997,SNDI,Sendurai - Ottakovil Block,11.249291,79.157333,4.6,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000066,2024-12-03,2024-12-05,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_053,74.363,74.396,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.801515,78.690031,3.9,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000067,2024-12-26,2025-01-06,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_024,180.094,180.982,KSGL,Karasangal - Olakur Block,12.319246,79.73511,3.5,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000068,2024-01-10,2024-01-26,ENGINEERING,Weld Failure,HIGH,P2_URGENT,SEC_026,87.667,87.739,TMV,Tindivanam - Mailam Block,12.206165,79.635047,2.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000069,2024-09-24,2024-10-15,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_060,24.255,25.603,KFC,Kalpattichatram - Ayyalur Block,10.503523,78.199927,3.5,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000070,2024-12-10,2024-12-17,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_041,94.284,94.485,OTK,Ottakovil - Ariyalur Block,11.157137,79.072605,3.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000071,2024-06-06,2024-06-09,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_029,161.358,161.515,VVN,Vikravandi - Mundiyampakkam Block,12.020334,79.527131,4.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000072,2024-03-07,2024-03-11,ENGINEERING,Rail Fracture Risk,CRITICAL,P1_EMERGENCY,SEC_015,45.93,45.962,GI,Guduvancheri - Kattangulathur Block,12.813576,80.032903,4.1,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000073,2024-09-20,2024-10-06,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_045,93.647,93.927,KKPM,Kallakkudi Palanganatham - Pullampadi Block,10.957488,78.938763,4.4,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000074,2024-01-29,2024-02-06,ENGINEERING,Ballast Issue,HIGH,P2_URGENT,SEC_065,35.695,37.091,TDN,Tiruparankundram - Aruppukkottai Block,9.551472,78.100024,3.5,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000075,2024-12-22,2025-01-08,ENGINEERING,Deep Screening Overdue,HIGH,P2_URGENT,SEC_009,151.339,151.642,CMP,Chromepet - Tambaram Sanatorium Block,12.950147,80.139764,4.4,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000076,2024-11-11,2024-12-01,ENGINEERING,Rail Fracture Risk,HIGH,P2_URGENT,SEC_001,94.079,94.688,MS,Chennai Egmore - Mambalam Block,13.054851,80.241937,3.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
TMS_TASK_000077,2024-12-23,2024-12-30,ENGINEERING,Deep Screening Overdue,CRITICAL,P1_EMERGENCY,SEC_008,75.917,76.224,PV,Pallavaram - Chromepet Block,12.955868,80.14377,4.9,3,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated Generator / CAG Report 45 Track Audit
