execution_id,block_id,section_id,department,planned_start,planned_end,actual_start,actual_end,planned_duration,actual_duration,variance_minutes,completed_tasks,total_tasks,completion_percentage,machine_id,crew_id,status,deviation_reason,notes,created_at,recorded_by
EXE_011,RB-1011,SEC_024,TRD+S&T,2026-09-12T22:00:00,2026-09-13T01:00:00,2026-09-12T22:04:00,2026-09-13T00:43:00,180,159.0,-21.0,6,6,100.0,T-28,Crew-24,COMPLETED,,Work completed successfully as scheduled.,2026-09-13T00:43:00,controller
EXE_012,RB-1012,SEC_016,Engineering,2026-09-13T06:00:00,2026-09-13T08:00:00,2026-09-13T06:11:00,2026-09-13T06:28:00,120,17.0,0.0,0,6,0.0,BCM-01,Crew-04,ABANDONED,WEATHER,Possession abandoned after 17 min due to weather.,2026-09-13T06:28:00,controller
EXE_013,RB-1013,SEC_020,Engineering+TRD,2026-09-14T01:00:00,2026-09-14T02:30:00,2026-09-14T01:06:00,2026-09-14T03:07:00,90,121.0,31.0,4,5,80.0,T-28,Crew-18,PARTIAL,WEATHER,Partial execution: 4/5 tasks done. WEATHER constrained remaining window.,2026-09-14T03:07:00,controller
EXE_014,RB-1014,SEC_006,Engineering+TRD,2026-09-15T10:00:00,2026-09-15T14:00:00,2026-09-15T10:15:00,2026-09-15T10:33:00,240,18.0,0.0,0,4,0.0,BCM-01,Crew-24,ABANDONED,WEATHER,Possession abandoned after 18 min due to weather.,2026-09-15T10:33:00,controller
EXE_015,RB-1015,SEC_021,TRD+S&T,2026-09-16T10:00:00,2026-09-16T12:00:00,2026-09-16T10:00:00,2026-09-16T11:50:00,120,110.0,-10.0,3,3,100.0,DGS-02,Crew-05,COMPLETED,,Work completed successfully as scheduled.,2026-09-16T11:50:00,controller
EXE_016,RB-1016,SEC_004,S&T,2026-09-17T01:00:00,2026-09-17T03:00:00,2026-09-17T01:04:00,2026-09-17T03:24:00,120,140.0,20.0,3,3,100.0,T-28,Crew-08,COMPLETED,MACHINE_DELAY,Completed with minor delay due to machine_delay.,2026-09-17T03:24:00,controller
EXE_017,RB-1017,SEC_025,TRD,2026-09-18T14:00:00,2026-09-18T18:00:00,2026-09-18T14:03:00,2026-09-18T17:57:00,240,234.0,-6.0,5,5,100.0,CSM-04,Crew-22,COMPLETED,,Work completed successfully as scheduled.,2026-09-18T17:57:00,controller
EXE_018,RB-1018,SEC_007,TRD+S&T,2026-09-19T10:00:00,2026-09-19T13:00:00,2026-09-19T10:03:00,2026-09-19T13:41:00,180,218.0,38.0,3,5,60.0,DGS-02,Crew-23,PARTIAL,TRAIN_DELAY,Partial execution: 3/5 tasks done. TRAIN_DELAY constrained remaining window.,2026-09-19T13:41:00,controller
EXE_019,RB-1019,SEC_008,Engineering,2026-09-20T22:00:00,2026-09-21T02:00:00,2026-09-20T22:00:00,2026-09-21T02:27:00,240,267.0,27.0,4,4,100.0,UNIMAT-08,Crew-01,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-21T02:27:00,controller
EXE_020,RB-1020,SEC_008,Engineering,2026-09-01T01:00:00,2026-09-01T05:00:00,2026-09-01T01:04:00,2026-09-01T04:45:00,240,221.0,-19.0,5,5,100.0,BCM-01,Crew-11,COMPLETED,,Work completed successfully as scheduled.,2026-09-01T04:45:00,controller
EXE_021,RB-1021,SEC_005,Engineering+S&T,2026-09-02T14:00:00,2026-09-02T17:00:00,2026-09-02T14:03:00,2026-09-02T17:21:00,180,198.0,18.0,3,3,100.0,WST-03,Crew-08,COMPLETED,BLOCK_OVERRUN,Completed with minor delay due to block_overrun.,2026-09-02T17:21:00,controller
EXE_022,RB-1022,SEC_014,Engineering+TRD,2026-09-03T01:00:00,2026-09-03T02:30:00,2026-09-03T01:01:00,2026-09-03T02:09:00,90,68.0,-22.0,5,5,100.0,BCM-01,Crew-22,COMPLETED,,Work completed successfully as scheduled.,2026-09-03T02:09:00,controller
EXE_023,RB-1023,SEC_007,TRD,2026-09-04T14:00:00,2026-09-04T16:00:00,2026-09-04T14:04:00,2026-09-04T16:11:00,120,127.0,7.0,6,6,100.0,WST-03,Crew-05,COMPLETED,BLOCK_OVERRUN,Completed with minor delay due to block_overrun.,2026-09-04T16:11:00,controller
EXE_024,RB-1024,SEC_004,Engineering,2026-09-05T06:00:00,2026-09-05T08:00:00,2026-09-05T06:03:00,2026-09-05T08:05:00,120,122.0,2.0,6,6,100.0,BCM-01,Crew-03,COMPLETED,,Work completed successfully as scheduled.,2026-09-05T08:05:00,controller
EXE_025,RB-1025,SEC_002,TRD,2026-09-06T14:00:00,2026-09-06T16:30:00,2026-09-06T14:11:00,2026-09-06T14:35:00,150,24.0,0.0,0,6,0.0,FRM-80,Crew-01,ABANDONED,CREW_UNAVAILABLE,Possession abandoned after 24 min due to crew_unavailable.,2026-09-06T14:35:00,controller
EXE_026,RB-1026,SEC_024,TRD+S&T,2026-09-07T06:00:00,2026-09-07T08:30:00,2026-09-07T06:00:00,2026-09-07T08:22:00,150,142.0,-8.0,3,3,100.0,WST-03,Crew-05,COMPLETED,,Work completed successfully as scheduled.,2026-09-07T08:22:00,controller
EXE_027,RB-1027,SEC_024,S&T,2026-09-08T22:00:00,2026-09-09T01:00:00,2026-09-08T22:01:00,2026-09-09T01:22:00,180,201.0,21.0,4,4,100.0,BCM-01,Crew-02,COMPLETED,MACHINE_DELAY,Completed with minor delay due to machine_delay.,2026-09-09T01:22:00,controller
EXE_028,RB-1028,SEC_003,TRD+S&T,2026-09-09T06:00:00,2026-09-09T09:00:00,2026-09-09T06:04:00,2026-09-09T08:40:00,180,156.0,-24.0,4,4,100.0,BCM-02,Crew-22,COMPLETED,,Work completed successfully as scheduled.,2026-09-09T08:40:00,controller
EXE_029,RB-1029,SEC_003,Engineering+TRD,2026-09-10T06:00:00,2026-09-10T08:30:00,2026-09-10T06:05:00,2026-09-10T08:31:00,150,146.0,-4.0,5,5,100.0,UNIMAT-08,Crew-09,COMPLETED,,Work completed successfully as scheduled.,2026-09-10T08:31:00,controller
EXE_030,RB-1030,SEC_010,Engineering+TRD,2026-09-11T01:00:00,2026-09-11T04:00:00,2026-09-11T01:02:00,2026-09-11T04:13:00,180,191.0,11.0,3,3,100.0,UNIMAT-08,Crew-03,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-11T04:13:00,controller
EXE_031,RB-1031,SEC_005,S&T,2026-09-12T10:00:00,2026-09-12T12:30:00,2026-09-12T10:02:00,2026-09-12T12:29:00,150,147.0,-3.0,6,6,100.0,BCM-02,Crew-08,COMPLETED,,Work completed successfully as scheduled.,2026-09-12T12:29:00,controller
EXE_032,RB-1032,SEC_020,Engineering+S&T,2026-09-13T22:00:00,2026-09-14T00:30:00,2026-09-13T22:03:00,2026-09-14T00:51:00,150,168.0,18.0,1,3,33.3,BCM-01,Crew-22,PARTIAL,MACHINE_DELAY,Partial execution: 1/3 tasks done. MACHINE_DELAY constrained remaining window.,2026-09-14T00:51:00,controller
EXE_033,RB-1033,SEC_024,TRD+S&T,2026-09-14T10:00:00,2026-09-14T14:00:00,2026-09-14T10:04:00,2026-09-14T14:29:00,240,265.0,25.0,5,5,100.0,CSM-04,Crew-09,COMPLETED,BLOCK_OVERRUN,Completed with minor delay due to block_overrun.,2026-09-14T14:29:00,controller
EXE_034,RB-1034,SEC_016,S&T,2026-09-15T14:00:00,2026-09-15T16:30:00,2026-09-15T14:05:00,2026-09-15T16:14:00,150,129.0,-21.0,3,3,100.0,BCM-01,Crew-03,COMPLETED,,Work completed successfully as scheduled.,2026-09-15T16:14:00,controller
EXE_035,RB-1035,SEC_009,TRD,2026-09-16T14:00:00,2026-09-16T18:00:00,2026-09-16T14:04:00,2026-09-16T18:31:00,240,267.0,27.0,3,3,100.0,WST-03,Crew-18,COMPLETED,MACHINE_DELAY,Completed with minor delay due to machine_delay.,2026-09-16T18:31:00,controller
EXE_036,RB-1036,SEC_002,S&T,2026-09-17T06:00:00,2026-09-17T07:30:00,2026-09-17T06:00:00,2026-09-17T07:30:00,90,90.0,0.0,5,5,100.0,CSM-04,Crew-14,COMPLETED,,Work completed successfully as scheduled.,2026-09-17T07:30:00,controller
EXE_037,RB-1037,SEC_012,TRD,2026-09-18T01:00:00,2026-09-18T03:30:00,2026-09-18T01:08:00,2026-09-18T01:27:00,150,19.0,0.0,0,6,0.0,DGS-02,Crew-22,ABANDONED,EMERGENCY_DEFECT,Possession abandoned after 19 min due to emergency_defect.,2026-09-18T01:27:00,controller
EXE_038,RB-1038,SEC_006,Engineering+TRD,2026-09-19T10:00:00,2026-09-19T13:00:00,2026-09-19T10:07:00,2026-09-19T10:30:00,180,23.0,0.0,0,4,0.0,BCM-01,Crew-06,ABANDONED,CREW_UNAVAILABLE,Possession abandoned after 23 min due to crew_unavailable.,2026-09-19T10:30:00,controller
EXE_039,RB-1039,SEC_004,Engineering+TRD,2026-09-20T06:00:00,2026-09-20T08:00:00,2026-09-20T06:09:00,2026-09-20T06:35:00,120,26.0,0.0,0,6,0.0,BCM-01,Crew-16,ABANDONED,EMERGENCY_DEFECT,Possession abandoned after 26 min due to emergency_defect.,2026-09-20T06:35:00,controller
EXE_040,RB-1040,SEC_008,Engineering,2026-09-01T10:00:00,2026-09-01T12:30:00,2026-09-01T10:10:00,2026-09-01T10:33:00,150,23.0,0.0,0,3,0.0,DGS-02,Crew-13,ABANDONED,CREW_UNAVAILABLE,Possession abandoned after 23 min due to crew_unavailable.,2026-09-01T10:33:00,controller
EXE_041,RB-1041,SEC_017,Engineering+TRD,2026-09-02T01:00:00,2026-09-02T03:30:00,2026-09-02T01:02:00,2026-09-02T03:56:00,150,174.0,24.0,5,5,100.0,UNIMAT-08,Crew-01,COMPLETED,BLOCK_OVERRUN,Completed with minor delay due to block_overrun.,2026-09-02T03:56:00,controller
EXE_042,RB-1042,SEC_024,S&T,2026-09-03T22:00:00,2026-09-03T23:30:00,2026-09-03T22:03:00,2026-09-03T23:30:00,90,87.0,-3.0,4,4,100.0,FRM-80,Crew-20,COMPLETED,,Work completed successfully as scheduled.,2026-09-03T23:30:00,controller
EXE_043,RB-1043,SEC_001,TRD+S&T,2026-09-04T14:00:00,2026-09-04T15:30:00,2026-09-04T14:06:00,2026-09-04T16:06:00,90,120.0,30.0,4,5,80.0,DGS-02,Crew-12,PARTIAL,RESOURCE_CONFLICT,Partial execution: 4/5 tasks done. RESOURCE_CONFLICT constrained remaining window.,2026-09-04T16:06:00,controller
EXE_044,RB-1044,SEC_022,Engineering+TRD,2026-09-05T10:00:00,2026-09-05T14:00:00,2026-09-05T10:05:00,2026-09-05T13:52:00,240,227.0,-13.0,4,4,100.0,UNIMAT-08,Crew-13,COMPLETED,,Work completed successfully as scheduled.,2026-09-05T13:52:00,controller
EXE_045,RB-1045,SEC_024,TRD,2026-09-06T22:00:00,2026-09-06T23:30:00,2026-09-06T22:04:00,2026-09-07T00:04:00,90,120.0,30.0,5,5,100.0,T-28,Crew-13,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-07T00:04:00,controller
EXE_046,RB-1046,SEC_021,S&T,2026-09-07T14:00:00,2026-09-07T16:00:00,2026-09-07T14:05:00,2026-09-07T16:05:00,120,120.0,0.0,6,6,100.0,WST-03,Crew-15,COMPLETED,,Work completed successfully as scheduled.,2026-09-07T16:05:00,controller
EXE_047,RB-1047,SEC_006,Engineering+S&T,2026-09-08T22:00:00,2026-09-09T02:00:00,2026-09-08T22:01:00,2026-09-09T02:00:00,240,239.0,-1.0,3,3,100.0,BCM-02,Crew-10,COMPLETED,,Work completed successfully as scheduled.,2026-09-09T02:00:00,controller
EXE_048,RB-1048,SEC_022,S&T,2026-09-09T06:00:00,2026-09-09T07:30:00,2026-09-09T06:00:00,2026-09-09T07:24:00,90,84.0,-6.0,4,4,100.0,DGS-02,Crew-07,COMPLETED,,Work completed successfully as scheduled.,2026-09-09T07:24:00,controller
EXE_049,RB-1049,SEC_015,Engineering+TRD,2026-09-10T14:00:00,2026-09-10T17:00:00,2026-09-10T14:00:00,2026-09-10T17:27:00,180,207.0,27.0,4,4,100.0,DGS-02,Crew-23,COMPLETED,MACHINE_DELAY,Completed with minor delay due to machine_delay.,2026-09-10T17:27:00,controller
EXE_1050,RB-1050,SEC_021,Engineering+TRD,2026-09-24T10:00:00,2026-09-24T12:00:00,2026-09-24T10:08:00,2026-09-24T12:35:00,120,147.0,27.0,4,5,80.0,BCM-02,Crew-17,COMPLETED,,ABC,2026-09-24T22:47:50.960913,controller
EXE_051,RB-1051,SEC_005,Engineering+TRD,2026-09-12T22:00:00,2026-09-13T02:00:00,2026-09-12T22:03:00,2026-09-13T02:01:00,240,238.0,-2.0,6,6,100.0,UNIMAT-08,Crew-15,COMPLETED,,Work completed successfully as scheduled.,2026-09-13T02:01:00,controller
EXE_052,RB-1052,SEC_015,S&T,2026-09-13T10:00:00,2026-09-13T14:00:00,2026-09-13T10:05:00,2026-09-13T13:42:00,240,217.0,-23.0,4,4,100.0,DGS-02,Crew-21,COMPLETED,,Work completed successfully as scheduled.,2026-09-13T13:42:00,controller
EXE_053,RB-1053,SEC_010,TRD,2026-09-14T10:00:00,2026-09-14T14:00:00,2026-09-14T10:01:00,2026-09-14T14:18:00,240,257.0,17.0,4,4,100.0,T-28,Crew-11,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-14T14:18:00,controller
EXE_054,RB-1054,SEC_023,TRD,2026-09-15T14:00:00,2026-09-15T16:30:00,2026-09-15T14:03:00,2026-09-15T16:14:00,150,131.0,-19.0,6,6,100.0,BCM-02,Crew-14,COMPLETED,,Work completed successfully as scheduled.,2026-09-15T16:14:00,controller
EXE_055,RB-1055,SEC_013,TRD+S&T,2026-09-16T14:00:00,2026-09-16T17:00:00,2026-09-16T14:03:00,2026-09-16T16:50:00,180,167.0,-13.0,5,5,100.0,BCM-01,Crew-19,COMPLETED,,Work completed successfully as scheduled.,2026-09-16T16:50:00,controller
EXE_056,RB-1056,SEC_018,Engineering+S&T,2026-09-17T06:00:00,2026-09-17T08:30:00,2026-09-17T06:05:00,2026-09-17T08:50:00,150,165.0,15.0,6,6,100.0,DGS-02,Crew-16,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-17T08:50:00,controller
EXE_057,RB-1057,SEC_013,Engineering+S&T,2026-09-18T06:00:00,2026-09-18T10:00:00,2026-09-18T06:04:00,2026-09-18T09:57:00,240,233.0,-7.0,3,3,100.0,CSM-04,Crew-15,COMPLETED,,Work completed successfully as scheduled.,2026-09-18T09:57:00,controller
EXE_058,RB-1058,SEC_022,Engineering,2026-09-19T14:00:00,2026-09-19T16:00:00,2026-09-19T14:05:00,2026-09-19T14:25:00,120,20.0,0.0,0,6,0.0,BCM-02,Crew-21,ABANDONED,WEATHER,Possession abandoned after 20 min due to weather.,2026-09-19T14:25:00,controller
EXE_059,RB-1059,SEC_013,S&T,2026-09-20T10:00:00,2026-09-20T12:30:00,2026-09-20T10:11:00,2026-09-20T10:34:00,150,23.0,0.0,0,6,0.0,DGS-02,Crew-15,ABANDONED,WEATHER,Possession abandoned after 23 min due to weather.,2026-09-20T10:34:00,controller
EXE_060,RB-1060,SEC_003,Engineering+TRD,2026-09-01T22:00:00,2026-09-01T23:30:00,2026-09-01T22:05:00,2026-09-01T23:34:00,90,89.0,-1.0,4,4,100.0,BCM-01,Crew-24,COMPLETED,,Work completed successfully as scheduled.,2026-09-01T23:34:00,controller
EXE_061,RB-1061,SEC_002,Engineering,2026-09-02T01:00:00,2026-09-02T05:00:00,2026-09-02T01:04:00,2026-09-02T05:30:00,240,266.0,26.0,4,4,100.0,DGS-02,Crew-07,COMPLETED,MACHINE_DELAY,Completed with minor delay due to machine_delay.,2026-09-02T05:30:00,controller
EXE_062,RB-1062,SEC_007,Engineering+TRD,2026-09-03T06:00:00,2026-09-03T10:00:00,2026-09-03T06:02:00,2026-09-03T09:42:00,240,220.0,-20.0,3,3,100.0,T-28,Crew-12,COMPLETED,,Work completed successfully as scheduled.,2026-09-03T09:42:00,controller
EXE_063,RB-1063,SEC_004,TRD+S&T,2026-09-04T22:00:00,2026-09-05T01:00:00,2026-09-04T22:01:00,2026-09-05T01:28:00,180,207.0,27.0,4,4,100.0,BCM-01,Crew-10,COMPLETED,TRAIN_DELAY,Completed with minor delay due to train_delay.,2026-09-05T01:28:00,controller
EXE_064,RB-1064,SEC_004,Engineering+S&T,2026-09-05T22:00:00,2026-09-05T23:30:00,2026-09-05T22:13:00,2026-09-05T22:39:00,90,26.0,0.0,0,3,0.0,T-28,Crew-22,ABANDONED,WEATHER,Possession abandoned after 26 min due to weather.,2026-09-05T22:39:00,controller
EXE_065,RB-1065,SEC_022,S&T,2026-09-06T10:00:00,2026-09-06T11:30:00,2026-09-06T10:06:00,2026-09-06T10:36:00,90,30.0,0.0,0,6,0.0,BCM-02,Crew-17,ABANDONED,WEATHER,Possession abandoned after 30 min due to weather.,2026-09-06T10:36:00,controller
