task_id,logged_date,target_completion_date,department,defect_type,signal_id,severity,priority,section_id,station_code,location,latitude,longitude,estimated_duration_hours,deferred_count,status,corridor_id,source_type,source
SMMS_TASK_000011,2024-07-14,2024-07-17,SIGNAL,Track Circuit Failure,RB-SIG-000011,CRITICAL,P1_EMERGENCY,SEC_062,VDM,Vadamadurai - Kudalnagar Block,10.216556,78.103758,2.1,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000012,2024-06-04,2024-06-05,SIGNAL,Interlocking Fault,RB-SIG-000012,CRITICAL,P1_EMERGENCY,SEC_026,TMV,Tindivanam - Mailam Block,12.171734,79.610366,4.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000013,2024-02-24,2024-03-18,SIGNAL,Cable Fault,RB-SIG-000013,MEDIUM,P3_NORMAL,SEC_031,VM,Viluppuram Junction - Kandambakkam Block,11.92432,79.481648,2.9,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000014,2024-06-26,2024-06-30,SIGNAL,Cable Fault,RB-SIG-000014,CRITICAL,P1_EMERGENCY,SEC_012,PRGL,Perungalattur - Vandalur Block,12.90053,80.091565,3.2,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000015,2024-07-03,2024-07-05,SIGNAL,Point Machine Issue,RB-SIG-000015,CRITICAL,P1_EMERGENCY,SEC_015,GI,Guduvancheri - Kattangulathur Block,12.826615,80.043097,2.4,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000016,2024-03-08,2024-03-20,SIGNAL,Axle Counter Error,RB-SIG-000016,HIGH,P2_URGENT,SEC_058,CII,Chettiyapatti - Vaiyampatti Block,10.569989,78.357933,1.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000017,2024-08-10,2024-08-21,SIGNAL,Track Circuit Failure,RB-SIG-000017,HIGH,P2_URGENT,SEC_001,MS,Chennai Egmore - Mambalam Block,13.043245,80.232144,2.0,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000018,2024-11-13,2024-11-18,SIGNAL,Point Machine Issue,RB-SIG-000018,CRITICAL,P1_EMERGENCY,SEC_062,VDM,Vadamadurai - Kudalnagar Block,10.369131,78.102963,2.6,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000019,2024-02-01,2024-02-06,SIGNAL,Track Circuit Failure,RB-SIG-000019,CRITICAL,P1_EMERGENCY,SEC_059,VPJ,Vaiyampatti - Kalpattichatram Block,10.523011,78.248091,2.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000020,2024-01-30,2024-02-12,SIGNAL,Cable Fault,RB-SIG-000020,HIGH,P2_URGENT,SEC_037,PNDM,Pennadam - Ichchangadu Block,11.373623,79.219549,3.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000021,2024-07-26,2024-08-08,SIGNAL,Point Machine Issue,RB-SIG-000021,MEDIUM,P3_NORMAL,SEC_006,MN,Meenambakkam - Tirusulam Block,12.981108,80.167213,2.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000022,2024-10-12,2024-10-15,SIGNAL,Interlocking Fault,RB-SIG-000022,CRITICAL,P1_EMERGENCY,SEC_024,KSGL,Karasangal - Olakur Block,12.330967,79.746719,4.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000023,2024-02-07,2024-02-15,SIGNAL,Point Machine Issue,RB-SIG-000023,HIGH,P2_URGENT,SEC_047,KTTR,Kattur - Lalgudi Block,10.884903,78.833763,2.7,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000024,2024-12-11,2024-12-12,SIGNAL,Track Circuit Failure,RB-SIG-000024,CRITICAL,P1_EMERGENCY,SEC_064,MDU,Madurai Junction - Tiruparankundram Block,9.904616,78.093586,1.7,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000025,2024-06-23,2024-06-28,SIGNAL,Axle Counter Error,RB-SIG-000025,HIGH,P2_URGENT,SEC_036,TLNR,Talanallur - Pennadam Block,11.45515,79.259451,2.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000026,2024-02-08,2024-02-15,SIGNAL,Track Circuit Failure,RB-SIG-000026,HIGH,P2_URGENT,SEC_056,KLS,Kolatur - Manapparai Block,10.65041,78.477823,2.2,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000027,2024-06-12,2024-06-25,SIGNAL,Interlocking Fault,RB-SIG-000027,HIGH,P2_URGENT,SEC_017,SKL,Singaperumal Koil - Chengalpattu Junction Block,12.755932,79.999007,4.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000028,2024-06-07,2024-06-15,SIGNAL,Cable Fault,RB-SIG-000028,HIGH,P2_URGENT,SEC_011,TBM,Tambaram - Perungalattur Block,12.919139,80.110514,3.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000029,2024-05-22,2024-05-23,SIGNAL,Axle Counter Error,RB-SIG-000029,CRITICAL,P1_EMERGENCY,SEC_004,STM,St. Thomas Mount - Palavanthangal Block,12.992618,80.193425,2.0,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000030,2024-08-02,2024-08-04,SIGNAL,Axle Counter Error,RB-SIG-000030,CRITICAL,P1_EMERGENCY,SEC_009,CMP,Chromepet - Tambaram Sanatorium Block,12.937983,80.131407,1.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000031,2024-03-31,2024-04-14,SIGNAL,Axle Counter Error,RB-SIG-000031,HIGH,P2_URGENT,SEC_039,MTUR,Mathur - Sendurai Block,11.28591,79.186252,1.7,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000032,2024-12-28,2024-12-30,SIGNAL,Cable Fault,RB-SIG-000032,CRITICAL,P1_EMERGENCY,SEC_067,TIP,Tattapparai - Milavittan Block,8.822439,78.044505,2.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000033,2024-04-14,2024-04-20,SIGNAL,Point Machine Issue,RB-SIG-000033,HIGH,P2_URGENT,SEC_047,KTTR,Kattur - Lalgudi Block,10.884787,78.833537,2.9,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000034,2024-11-12,2024-11-25,SIGNAL,Axle Counter Error,RB-SIG-000034,HIGH,P2_URGENT,SEC_028,PEI,Perani - Vikravandi Block,12.097488,79.551348,2.3,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000035,2024-10-26,2024-10-30,SIGNAL,Interlocking Fault,RB-SIG-000035,CRITICAL,P1_EMERGENCY,SEC_001,MS,Chennai Egmore - Mambalam Block,13.0466,80.234975,4.1,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000036,2024-05-31,2024-06-08,SIGNAL,Track Circuit Failure,RB-SIG-000036,HIGH,P2_URGENT,SEC_036,TLNR,Talanallur - Pennadam Block,11.408301,79.227656,2.0,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000037,2024-03-11,2024-03-25,SIGNAL,Axle Counter Error,RB-SIG-000037,HIGH,P2_URGENT,SEC_050,SRGM,Srirangam - Tiruchchirappalli Town Block,10.855277,78.696567,2.3,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000038,2024-12-20,2025-01-04,SIGNAL,Interlocking Fault,RB-SIG-000038,HIGH,P2_URGENT,SEC_039,MTUR,Mathur - Sendurai Block,11.30359,79.197046,4.0,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000039,2024-07-28,2024-07-30,SIGNAL,Track Circuit Failure,RB-SIG-000039,CRITICAL,P1_EMERGENCY,SEC_050,SRGM,Srirangam - Tiruchchirappalli Town Block,10.855376,78.696542,2.5,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000040,2024-05-01,2024-05-02,SIGNAL,Track Circuit Failure,RB-SIG-000040,CRITICAL,P1_EMERGENCY,SEC_023,TZD,Tozhuppedu - Karasangal Block,12.339535,79.755265,2.0,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000041,2024-02-25,2024-02-29,SIGNAL,Point Machine Issue,RB-SIG-000041,CRITICAL,P1_EMERGENCY,SEC_053,TPE,Tiruchchirappalli Palakarai - Tiruchchirappalli Junction Block,10.806929,78.69357,2.6,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000042,2024-05-04,2024-05-09,SIGNAL,Axle Counter Error,RB-SIG-000042,CRITICAL,P1_EMERGENCY,SEC_006,MN,Meenambakkam - Tirusulam Block,12.984402,80.174444,1.8,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000043,2024-08-26,2024-09-09,SIGNAL,Point Machine Issue,RB-SIG-000043,HIGH,P2_URGENT,SEC_010,TBMS,Tambaram Sanatorium - Tambaram Block,12.930637,80.123466,2.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000044,2024-07-04,2024-07-13,SIGNAL,Axle Counter Error,RB-SIG-000044,HIGH,P2_URGENT,SEC_016,CTM,Kattangulathur - Singaperumal Koil Block,12.796049,80.021,2.1,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000045,2024-01-25,2024-01-26,SIGNAL,Axle Counter Error,RB-SIG-000045,CRITICAL,P1_EMERGENCY,SEC_022,MLMR,Melmaruvattur - Tozhuppedu Block,12.375935,79.790391,2.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000046,2024-10-12,2024-11-02,SIGNAL,Point Machine Issue,RB-SIG-000046,MEDIUM,P3_NORMAL,SEC_066,APK,Aruppukkottai - Tattapparai Block,8.980039,78.040609,2.3,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000047,2024-04-27,2024-04-28,SIGNAL,Cable Fault,RB-SIG-000047,CRITICAL,P1_EMERGENCY,SEC_042,ALU,Ariyalur - Sillakkudi Block,11.136234,79.061011,3.3,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000048,2024-03-11,2024-03-15,SIGNAL,Track Circuit Failure,RB-SIG-000048,CRITICAL,P1_EMERGENCY,SEC_005,PZA,Palavanthangal - Meenambakkam Block,12.987977,80.182185,2.2,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000049,2024-09-13,2024-09-24,SIGNAL,Track Circuit Failure,RB-SIG-000049,HIGH,P2_URGENT,SEC_037,PNDM,Pennadam - Ichchangadu Block,11.375915,79.219679,1.7,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000050,2024-09-28,2024-10-10,SIGNAL,Cable Fault,RB-SIG-000050,HIGH,P2_URGENT,SEC_051,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.829068,78.702122,3.3,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000051,2024-10-27,2024-11-01,SIGNAL,Interlocking Fault,RB-SIG-000051,CRITICAL,P1_EMERGENCY,SEC_019,OV,Ottivakkam - Karunguzhi Block,12.579491,79.94485,4.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000052,2024-01-01,2024-01-22,SIGNAL,Interlocking Fault,RB-SIG-000052,MEDIUM,P3_NORMAL,SEC_004,STM,St. Thomas Mount - Palavanthangal Block,12.992854,80.194078,3.9,1,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000053,2024-05-21,2024-05-26,SIGNAL,Interlocking Fault,RB-SIG-000053,CRITICAL,P1_EMERGENCY,SEC_027,MTL,Mailam - Perani Block,12.109069,79.557629,3.9,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000054,2024-04-06,2024-04-09,SIGNAL,Cable Fault,RB-SIG-000054,CRITICAL,P1_EMERGENCY,SEC_055,PUG,Punggudi - Kolatur Block,10.730477,78.593143,3.1,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000055,2024-07-31,2024-08-01,SIGNAL,Axle Counter Error,RB-SIG-000055,CRITICAL,P1_EMERGENCY,SEC_007,TLM,Tirusulam - Pallavaram Block,12.977355,80.16248,1.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000056,2024-12-22,2025-01-02,SIGNAL,Interlocking Fault,RB-SIG-000056,HIGH,P2_URGENT,SEC_061,AYR,Ayyalur - Vadamadurai Block,10.469553,78.140074,4.5,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000057,2024-02-13,2024-02-14,SIGNAL,Cable Fault,RB-SIG-000057,CRITICAL,P1_EMERGENCY,SEC_068,MVN,Milavittan - Tuticorin Block,8.809875,78.108941,2.9,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000058,2024-08-28,2024-09-08,SIGNAL,Cable Fault,RB-SIG-000058,MEDIUM,P3_NORMAL,SEC_026,TMV,Tindivanam - Mailam Block,12.175078,79.612763,3.5,3,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000059,2024-06-11,2024-06-12,SIGNAL,Cable Fault,RB-SIG-000059,CRITICAL,P1_EMERGENCY,SEC_059,VPJ,Vaiyampatti - Kalpattichatram Block,10.527613,78.26176,3.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000060,2024-06-18,2024-06-22,SIGNAL,Interlocking Fault,RB-SIG-000060,CRITICAL,P1_EMERGENCY,SEC_039,MTUR,Mathur - Sendurai Block,11.290415,79.189002,4.1,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000061,2024-12-10,2025-01-05,SIGNAL,Point Machine Issue,RB-SIG-000061,MEDIUM,P3_NORMAL,SEC_034,PVN,Pavunur - Vriddhachalam Junction Block,11.545492,79.316378,2.7,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000062,2024-09-24,2024-10-19,SIGNAL,Interlocking Fault,RB-SIG-000062,MEDIUM,P3_NORMAL,SEC_025,OLA,Olakur - Tindivanam Block,12.260794,79.680505,4.0,1,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000063,2024-02-04,2024-02-08,SIGNAL,Axle Counter Error,RB-SIG-000063,CRITICAL,P1_EMERGENCY,SEC_036,TLNR,Talanallur - Pennadam Block,11.458151,79.261488,2.1,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000064,2024-06-08,2024-06-09,SIGNAL,Axle Counter Error,RB-SIG-000064,CRITICAL,P1_EMERGENCY,SEC_066,APK,Aruppukkottai - Tattapparai Block,9.063698,78.050176,2.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000065,2024-09-28,2024-10-03,SIGNAL,Track Circuit Failure,RB-SIG-000065,HIGH,P2_URGENT,SEC_065,TDN,Tiruparankundram - Aruppukkottai Block,9.777247,78.075992,2.4,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000066,2024-02-09,2024-02-21,SIGNAL,Track Circuit Failure,RB-SIG-000066,HIGH,P2_URGENT,SEC_006,MN,Meenambakkam - Tirusulam Block,12.981876,80.168898,2.2,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000067,2024-07-04,2024-07-08,SIGNAL,Interlocking Fault,RB-SIG-000067,CRITICAL,P1_EMERGENCY,SEC_013,VDR,Vandalur - Urappakkam Block,12.879141,80.078314,4.1,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000068,2024-07-01,2024-07-05,SIGNAL,Axle Counter Error,RB-SIG-000068,CRITICAL,P1_EMERGENCY,SEC_017,SKL,Singaperumal Koil - Chengalpattu Junction Block,12.712186,79.986058,2.0,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000069,2024-01-27,2024-02-20,SIGNAL,Cable Fault,RB-SIG-000069,MEDIUM,P3_NORMAL,SEC_038,ICG,Ichchangadu - Mathur Block,11.345332,79.212968,3.1,2,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000070,2024-12-15,2024-12-16,SIGNAL,Track Circuit Failure,RB-SIG-000070,CRITICAL,P1_EMERGENCY,SEC_043,SLTH,Sillakkudi - Kallagam Block,11.03628,79.010028,2.2,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000071,2024-05-15,2024-05-16,SIGNAL,Axle Counter Error,RB-SIG-000071,CRITICAL,P1_EMERGENCY,SEC_041,OTK,Ottakovil - Ariyalur Block,11.190856,79.088854,1.8,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000072,2024-04-09,2024-04-24,SIGNAL,Point Machine Issue,RB-SIG-000072,HIGH,P2_URGENT,SEC_002,MBM,Mambalam - Guindy Block,13.028718,80.222952,2.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000073,2024-02-02,2024-02-07,SIGNAL,Track Circuit Failure,RB-SIG-000073,CRITICAL,P1_EMERGENCY,SEC_001,MS,Chennai Egmore - Mambalam Block,13.067836,80.252893,2.4,0,Deferred,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000074,2024-01-20,2024-01-29,SIGNAL,Track Circuit Failure,RB-SIG-000074,HIGH,P2_URGENT,SEC_019,OV,Ottivakkam - Karunguzhi Block,12.57405,79.941022,1.9,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000075,2024-03-12,2024-03-17,SIGNAL,Interlocking Fault,RB-SIG-000075,CRITICAL,P1_EMERGENCY,SEC_016,CTM,Kattangulathur - Singaperumal Koil Block,12.791954,80.018574,3.9,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000076,2024-09-28,2024-10-05,SIGNAL,Axle Counter Error,RB-SIG-000076,HIGH,P2_URGENT,SEC_034,PVN,Pavunur - Vriddhachalam Junction Block,11.553776,79.316279,1.9,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000077,2024-04-08,2024-04-13,SIGNAL,Track Circuit Failure,RB-SIG-000077,CRITICAL,P1_EMERGENCY,SEC_011,TBM,Tambaram - Perungalattur Block,12.920263,80.111764,1.9,0,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000078,2024-06-15,2024-06-17,SIGNAL,Point Machine Issue,RB-SIG-000078,CRITICAL,P1_EMERGENCY,SEC_068,MVN,Milavittan - Tuticorin Block,8.808754,78.122386,2.6,0,Completed,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000079,2024-08-30,2024-09-09,SIGNAL,Track Circuit Failure,RB-SIG-000079,HIGH,P2_URGENT,SEC_051,TPTN,Tiruchchirappalli Town - Tiruchchirapalli Fort Block,10.827111,78.694537,2.0,1,Open,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
SMMS_TASK_000080,2024-05-02,2024-05-09,SIGNAL,Cable Fault,RB-SIG-000080,HIGH,P2_URGENT,SEC_049,VLDE,Valadi - Srirangam Block,10.865384,78.728053,2.7,0,In-Progress,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Calibrated S&T Maintenance Model
