section_id,from_station,to_station,start_km,end_km,flood_prone,landslide_prone,waterlogging_history_score,fog_prone,high_temp_rail_risk,overall_section_vulnerability,asset_multiplier_track,asset_multiplier_ohe,asset_multiplier_signal,source,source_type,provenance_status,notes
SEC_013,VDR,UPM,30.888,33.94,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_014,UPM,GI,33.94,36.855,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_015,GI,CTM,36.855,42.432,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_016,CTM,SKL,42.432,48.066,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_017,SKL,CGL,48.066,56.42,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_018,CGL,OV,56.42,64.77,True,False,0.85,False,0.4,0.805,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,"Adyar/Cooum river basin flood zone; severe waterlogging history at Basin Bridge, Guindy, Tambaram"
SEC_019,OV,KGZ,64.77,77.232,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_020,KGZ,MMK,77.232,80.898,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_021,MMK,MLMR,80.898,91.831,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_022,MLMR,TZD,91.831,100.425,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_023,TZD,KSGL,100.425,105.744,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_024,KSGL,OLA,105.744,110.378,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_025,OLA,TMV,110.378,121.852,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_026,TMV,MTL,121.852,131.32,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_027,MTL,PEI,131.32,140.03,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_028,PEI,VVN,140.03,146.518,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_029,VVN,MYP,146.518,153.125,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_030,MYP,VM,153.125,162.847,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_031,VM,KDMD,162.847,171.29,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_032,KDMD,TVNL,171.29,179.578,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_033,TVNL,PVN,179.578,208.649,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_034,PVN,VRI,208.649,222.364,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_035,VRI,TLNR,222.364,231.225,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_036,TLNR,PNDM,231.225,241.073,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_037,PNDM,ICG,241.073,244.317,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_038,ICG,MTUR,244.317,250.437,False,False,0.35,False,0.75,0.325,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Interior rainshadow area; high ambient rail temperature and expansion buckle risk in summer (April-June)
SEC_039,MTUR,SNDI,250.437,258.852,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_040,SNDI,OTK,258.852,267.341,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_041,OTK,ALU,267.341,275.909,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_042,ALU,SLTH,275.909,282.838,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_043,SLTH,KLGM,282.838,291.726,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_044,KLGM,KKPM,291.726,300.65,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_045,KKPM,PMB,300.65,305.296,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_046,PMB,KTTR,305.296,313.75,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_047,KTTR,LLI,313.75,318.922,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_048,LLI,VLDE,318.922,325.209,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_049,VLDE,SRGM,325.209,332.857,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_050,SRGM,TPTN,332.857,336.293,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_051,TPTN,TP,336.293,341.285,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_052,TP,TPE,341.285,343.38,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_053,TPE,TPJ,343.38,347.271,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_054,TPJ,PUG,347.271,358.247,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_055,PUG,KLS,358.247,367.743,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_056,KLS,MPA,367.743,385.526,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_057,MPA,CII,385.526,392.787,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_058,CII,VPJ,392.787,399.593,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_059,VPJ,KFC,399.593,407.844,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_060,KFC,AYR,407.844,419.702,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_061,AYR,VDM,419.702,428.05,True,False,0.55,True,0.5,0.675,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Cauvery and Coleroon river bridges; seasonal morning winter fog and river discharge surge risk
SEC_062,VDM,KON,428.05,482.544,False,False,0.4,False,0.65,0.33,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Vaigai river basin; flash thunderstorm and high summer track temperatures
SEC_063,KON,MDU,482.544,486.205,False,False,0.4,False,0.65,0.33,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Vaigai river basin; flash thunderstorm and high summer track temperatures
SEC_064,MDU,TDN,486.205,510.761,False,False,0.4,False,0.65,0.33,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Vaigai river basin; flash thunderstorm and high summer track temperatures
SEC_065,TDN,APK,510.761,550.669,False,False,0.4,False,0.65,0.33,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Vaigai river basin; flash thunderstorm and high summer track temperatures
SEC_066,APK,TIP,550.669,628.649,False,False,0.4,False,0.65,0.33,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Vaigai river basin; flash thunderstorm and high summer track temperatures
SEC_067,TIP,MVN,628.649,640.733,True,False,0.9,False,0.45,0.84,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Thamirabarani river basin & coastal lowlands; critical flood history (Dec 2023 / 2024 torrential inundation)
SEC_068,MVN,TN,640.733,648.228,True,False,0.9,False,0.45,0.84,1.0,1.3,1.1,Southern Railway Disaster Management Plan & IMD Flood Prone Maps,REFERENCE,DOCUMENTED,Thamirabarani river basin & coastal lowlands; critical flood history (Dec 2023 / 2024 torrential inundation)
